Centres_ID,ESG_UNSDG_NO,UNSDG_ESG,Category,Education,KPI,Member_total,Percentage_YTD,Percentage_2022,Amount,Property_Area
CC01,Environment,SCOPE 2 indirect paid emissions ,Youth,Secondary,tCO2e,302,0.9,0.9,12004,Cheung Chau
CC01,Goverance,Business Ethics,Children,Primary,Business Ethics,123,0.9,0.88,-,Cheung Chau
CC01,Social,Diversity and Inclusion,Elderly,Graduate,Diversity and Inclusion,171,0.9,0.91,-,Cheung Chau
CC01,3,Good Health and Well-being,Elderly,Graduate,Elderly-care,391,0.9,0.9,-,Cheung Chau
CC01,3,Good Health and Well-being,Children,Primary,Covid-19,236,0.91,0.91,-,Cheung Chau
CC01,3,Good Health and Well-being,Youth,Secondary,Youth-care,338,0.93,0.92,-,Cheung Chau
CC01,4,Quality Education,Elderly,Graduate,F2F Learning,434,0.92,0.92,-,Cheung Chau
CC01,4,Quality Education,Elderly,Graduate,Outbound Training,398,0.92,0.91,-,Cheung Chau
CC01,5,Gender Equality,Adult,Graduate,Women in workplace,342,0.45,0.46,-,Cheung Chau
CC01,5,Gender Equality,Adult,Not Graduate,Gender Equality,211,0.93,0.93,-,Cheung Chau
CC01,8,Decent Work and Economic Growth,Elderly,Graduate,Growth Ouput,258,0.89,0.89,-,Cheung Chau
CC01,8,Decent Work and Economic Growth,Elderly,Graduate,Green Economy,417,0.94,0.93,-,Cheung Chau
CC01,10,Reduce Inequalities,Elderly,Graduate,Task delegation,275,0.91,0.88,-,Cheung Chau
CC01,10,Reduce Inequalities,Adult,Graduate,Social Integration,244,0.94,0.92,-,Cheung Chau
CC01,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Strong Institutions,157,0.9,0.9,-,Cheung Chau
CC01,16,"Peace, Justice and Strong Institutions",Youth,University,Strong Institutions,379,0.92,0.93,-,Cheung Chau
CC01,17,Partnerships for the Goals,Adult,Graduate,Social Partners,355,0.89,0.89,-,Cheung Chau
CC01,17,Partnerships for the Goals,Youth,University,Capacity Development,310,0.9,0.9,-,Cheung Chau
CC01,17,Partnerships for the Goals,Elderly,Graduate,Business Partners,231,0.91,0.89,-,Cheung Chau
HK01,3,Good Health and Well-being,Elderly,Graduate,Elderly-care,391,0.9,0.9,-,Hong Kong Island
HK01,3,Good Health and Well-being,Children,Primary,Covid-19,236,0.91,0.91,-,Hong Kong Island
HK01,3,Good Health and Well-being,Youth,Secondary,Youth-care,338,0.93,0.92,-,Hong Kong Island
HK01,4,Quality Education,Elderly,Graduate,F2F Learning,434,0.92,0.92,-,Hong Kong Island
HK01,4,Quality Education,Elderly,Graduate,Outbound Training,398,0.92,0.91,-,Hong Kong Island
HK01,5,Gender Equality,Adult,Graduate,Women in workplace,342,0.45,0.46,-,Hong Kong Island
HK01,5,Gender Equality,Adult,Not Graduate,Gender Equality,211,0.93,0.93,-,Hong Kong Island
HK01,8,Decent Work and Economic Growth,Elderly,Graduate,Growth Ouput,258,0.89,0.89,-,Hong Kong Island
HK01,8,Decent Work and Economic Growth,Elderly,Graduate,Green Economy,417,0.94,0.93,-,Hong Kong Island
HK01,10,Reduce Inequalities,Elderly,Graduate,Task delegation,275,0.91,0.88,-,Hong Kong Island
HK01,10,Reduce Inequalities,Adult,Graduate,Social Integration,244,0.94,0.92,-,Hong Kong Island
HK01,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Strong Institutions,157,0.9,0.9,-,Hong Kong Island
HK01,16,"Peace, Justice and Strong Institutions",Youth,University,Strong Institutions,379,0.92,0.93,-,Hong Kong Island
HK01,17,Partnerships for the Goals,Adult,Graduate,Social Partners,355,0.89,0.89,-,Hong Kong Island
HK01,17,Partnerships for the Goals,Youth,University,Capacity Development,310,0.9,0.9,-,Hong Kong Island
HK01,17,Partnerships for the Goals,Elderly,Graduate,Business Partners,231,0.91,0.89,-,Hong Kong Island
HK01,Environment,Energy Management,Youth,Secondary,Total consumption,407,0.9,0.9,12350,Hong Kong Island
HK01,Goverance,Business Ethics,Children,Primary,Business Ethics,412,0.9,0.89,-,Hong Kong Island
HK01,Social,Human Capital,Elderly,Graduate,Attrition rate,412,0.9,0.9,7%,Hong Kong Island
HK02,3,Good Health and Well-being,Adult,Not Graduate,Covid-19,213,0.9,0.9,-,Hong Kong Island
HK02,3,Good Health and Well-being,Elderly,Graduate,Elderly-care,226,0.9,0.9,-,Hong Kong Island
HK02,3,Good Health and Well-being,Elderly,Not Graduate,Elderly-care,234,0.92,0.92,-,Hong Kong Island
HK02,4,Quality Education,Adult,Graduate,Outbound Training,438,0.89,0.89,-,Hong Kong Island
HK02,4,Quality Education,Children,Primary,Online Learning,101,0.89,0.89,-,Hong Kong Island
HK02,4,Quality Education,Children,Primary,Remote Learning,332,0.91,0.91,-,Hong Kong Island
HK02,5,Gender Equality,Elderly,Graduate,Gender Equality,193,0.93,0.92,-,Hong Kong Island
HK02,5,Gender Equality,Adult,Graduate,Gender Equality,325,0.94,0.91,-,Hong Kong Island
HK02,8,Decent Work and Economic Growth,Elderly,Graduate,"Reduce, Reuse, Recycle",245,0.89,0.89,-,Hong Kong Island
HK02,8,Decent Work and Economic Growth,Elderly,Graduate,Fair employment,460,0.93,0.91,-,Hong Kong Island
HK02,10,Reduce Inequalities,Elderly,Graduate,Task delegation,428,0.89,0.89,-,Hong Kong Island
HK02,10,Reduce Inequalities,Adult,Not Graduate,Diversity and inclusion,311,0.9,0.9,-,Hong Kong Island
HK02,16,"Peace, Justice and Strong Institutions",Adult,Graduate,Peace,264,0.9,0.9,-,Hong Kong Island
HK02,16,"Peace, Justice and Strong Institutions",Elderly,Graduate,Justice,486,0.91,0.88,-,Hong Kong Island
HK02,17,Partnerships for the Goals,Adult,Graduate,Business Partners,459,0.89,0.89,-,Hong Kong Island
HK02,17,Partnerships for the Goals,Adult,Not Graduate,Business Partners,165,0.9,0.9,-,Hong Kong Island
HK02,Environment,Water Management,Elderly,Graduate,Tonnes,191,0.9,0.9,2000,Hong Kong Island
HK02,Goverance,Board Accountablity,Adult,Graduate,Board Accountablity,309,0.9,0.88,-,Hong Kong Island
